week,start_date,end_date,Pmax (MW),Pmin (MW),total_load (kWh),source
01/2026,2025-12-29,2026-01-04,7694.0,3499.0,931407557.0,1767597381_Phuong-thuc-Tuan-03-2026---A2
02/2026,2026-01-05,2026-01-11,8195.0,4466.0,1042437006.0,1768210186_Phuong-thuc-Tuan-04-2026---A2
03/2026,2026-01-12,2026-01-18,8030.0,4242.0,1065998198.0,1768876065_Phuong-thuc-Tuan-05-2026---A2
04/2026,2026-01-19,2026-01-25,7937.0,4381.0,1052299054.0,1770625695_Phuong-thuc-Tuan-06-2026---A2
05/2026,2026-01-26,2026-02-01,8047.0,4495.0,1056007102.0,1770625729_Phuong-thuc-Tuan-07-2026---A2
06/2026,2026-02-02,2026-02-08,8257.0,4425.0,1078883086.0,1770781251_Phuong-thuc-Tuan-08-2026---A2
07/2026,2026-02-09,2026-02-15,7492.0,2285.0,863275302.0,1772523008_Phuong-thuc-Tuan-09-2026---A2
08/2026,2026-02-16,2026-02-22,4557.0,2295.0,685300000.0,1772523043_Phuong-thuc-Tuan-10-2026---A2
09/2026,2026-02-23,2026-03-01,7808.0,3694.0,875200000.0,1772527576_Phuong-thuc-Tuan-11-2026---A2
10/2026,2026-03-02,2026-03-08,8450.0,4982.0,1126360108.0,1774407758_Phuong-thuc-Tuan-12-2026---A2
11/2026,2026-03-09,2026-03-15,8418.0,4888.0,1147601039.0,1774407869_Phuong-thuc-Tuan-13-2026---A2
12/2026,2026-03-16,2026-03-22,8382.0,5033.0,1147102015.0,1774407811_Phuong-thuc-Tuan-14-2026---A2
13/2026,2026-03-23,2026-03-29,8536.0,5096.0,1176170103.0,1774946163_Phuong-thuc-Tuan-15-2026---A2
14/2026,2026-03-30,2026-04-05,8794.0,5226.0,1191626033.0,1777451054_Phuong-thuc-Tuan-16-2026---A2
15/2026,2026-04-06,2026-04-12,9129.0,5316.0,1258782321.0,1777451106_Phuong-thuc-Tuan-17-2026---A2
16/2026,2026-04-13,2026-04-19,8994.0,5671.0,1253044949.0,1777451144_Phuong-thuc-Tuan-18-2026---A2
17/2026,2026-04-20,2026-04-26,8863.0,5160.0,1240863723.0,1777451200_Phuong-thuc-Tuan-19-2026---A2
